site_no,date,TSS,PheoP,CHLA,site_name,lat,long,geometry,split_ID,LS_ID,Cloud_Cover,azimuth,cScore,time,dswe,dswe_sd,hillshade,hillshadow,hillshadow_sd,path,pixelCount,qa,qa_sd,row,sat,swir1_sd,zenith,date_time,month,year,hour,season,decade,count,max_year,min_year,n_years,rn,red_raw,green_raw,blue_raw,nir_raw,swir1_raw,swir2_raw,red,green,blue,nir,swir1,swir2,NR,BR,GR,SR,BG,RG,NG,SG,BN,GN,RN,SN,BS,GS,RS,NS,R.GN,R.GB,R.GS,R.BN,R.BS,R.NS,G.BR,G.BN,G.BS,G.RN,G.RB,G.NS,B.RG,B.RN,B.RS,B.GN,B.GS,B.NS,N.RG,N.RB,N.RS,N.GB,N.GS,N.BS,GR2,GN2,BR_G,NS_NR,fai,N_S,N_R,ndvi,ndwi,ndssi,gn.gn,hue,saturation,bright,bright_tot,dw,hexcolor,index
4049850,9/17/2008,21,7.019999981,1.799999952,PONT D11,6751195,641913.5,"c(641913.5, 6751195)",255,1_1_LT05_198027_20080916,7,152.164688,896.4117647,10:20:04,1,0,191,1,0,198,531,68,0.515526189,27,LT05,72.67713154,48.401917,2008-09-16T10:20:04Z,9,2008,10,Fall,2010,385,2020,1984,36,59534,777,790.7553626,526.7916667,747,346.3972279,242,720.5730446,718.9489997,506.5914863,689.1216256,263.5882452,181.2368505,0.956352213,0.703039741,0.997746176,0.365803644,0.704627848,1.002258915,0.958512531,0.366629963,0.73512638,1.043283178,1.045639867,0.382498873,1.921904697,2.727545757,2.733707052,2.614386788,0.511744959,0.587963476,0.733379878,0.602630378,0.935590766,0.756340484,0.585861946,0.601272155,0.933482109,0.510003347,0.585861946,0.754635825,0.351916449,0.359362561,0.514744373,0.359777043,0.515595199,0.531737418,0.478715577,0.561556017,0.700212082,0.562300172,0.701369469,0.894754299,719.7610222,704.0353127,-0.297631068,0.931176225,47.02071827,425.5333804,-31.451419,-0.022310802,0.463453937,-0.152653791,0.021183152,0.165401725,0.296960259,0.401303965,2635.235156,570,#666648,368
4049850,5/15/2012,12,NA,NA,PONT D11,6751195,641913.5,"c(641913.5, 6751195)",255,1_2_LE07_198027_20120514,0,145.857315,0,10:29:47,1,0,137,1,0,198,386,68,0.535461583,27,LE07,61.47394107,32.410305,2012-05-14T10:29:47Z,5,2012,10,Spring,2015,385,2020,1984,36,59677,428.5517241,503,328,333.3486239,100.5192308,64.04901961,428.5517241,503,328,333.3486239,100.5192308,64.04901961,0.777849219,0.765368523,1.173720631,0.234555656,0.652087475,0.851991499,0.662720922,0.199839425,0.983954864,1.508930783,1.2855962,0.30154386,3.263057203,5.004017601,4.263380458,3.316267159,0.512407998,0.515706046,0.710087935,0.647996697,1.000075827,0.987747121,0.664858706,0.760567093,1.173809631,0.660191325,0.664858706,1.159339174,0.352100685,0.430502494,0.619954653,0.392180953,0.543478954,0.755990555,0.357842313,0.440615774,0.630064117,0.401141545,0.552341345,0.777908201,465.7758621,418.1743119,-0.199904024,0.709775397,-38.87428829,232.8293931,-95.20310028,-0.124954793,0.666889717,-0.00808745,0.202847678,0.237569787,0.347912525,0.280132453,1592.900348,563,#3D472F,369
4049850,12/12/2013,13,NA,NA,PONT D11,6751195,641913.5,"c(641913.5, 6751195)",255,1_2_LE07_198027_20131211,3,163.425186,182,10:31:23,1,0,243,1,0,198,393,68,0.357685158,27,LE07,140.3255631,72.146706,2013-12-11T10:31:23Z,12,2013,10,Winter,2015,385,2020,1984,36,59683,548,554,513,240,62,69,548,554,513,240,62,69,0.437956204,0.936131387,1.010948905,0.113138686,0.92599278,0.989169675,0.433212996,0.111913357,2.1375,2.308333333,2.283333333,0.258333333,8.274193548,8.935483871,8.838709677,3.870967742,0.690176322,0.513589503,0.88961039,0.727755644,0.953043478,1.814569536,0.522148916,0.735723772,0.963478261,0.703045685,0.522148916,1.834437086,0.465517241,0.651015228,0.840983607,0.646095718,0.832792208,1.698675497,0.217785844,0.226201697,0.393442623,0.224929709,0.38961039,0.417391304,551,397,-0.063176895,0.366255144,-224.5454545,178,-308,-0.390862944,0.798701299,0.362549801,0.395465995,0.191056911,0.07400722,0.308535545,1855,568,#4E4F49,370
4049850,6/25/2015,8.800000191,NA,NA,PONT D11,6751195,641913.5,"c(641913.5, 6751195)",255,1_2_LE07_198027_20150624,5,141.820099,391.345098,10:34:39,1,0,121,1,0,198,226,68,0.678594319,27,LE07,46.60710354,28.244404,2015-06-24T10:34:39Z,6,2015,10,Summer,2015,385,2020,1984,36,59692,365,482,283,364,113,54,365,482,283,364,113,54,0.997260274,0.775342466,1.320547945,0.309589041,0.587136929,0.757261411,0.755186722,0.234439834,0.777472527,1.324175824,1.002747253,0.31043956,2.504424779,4.265486726,3.230088496,3.221238938,0.43144208,0.477124183,0.613445378,0.564142195,0.921717172,0.765199161,0.74382716,0.744976816,1.217171717,0.661179698,0.74382716,1.01048218,0.334120425,0.388203018,0.592050209,0.334515366,0.475630252,0.593291405,0.429752066,0.561728395,0.761506276,0.475816993,0.611764706,0.919191919,423.5,423,-0.170124481,0.996031746,42.27272727,251,-1,-0.001371742,0.620168067,-0.125193199,0.139479905,0.264656616,0.412863071,0.268437062,1494,559,#344428,371
4049850,8/11/2015,2.599999905,NA,NA,PONT D11,6751195,641913.5,"c(641913.5, 6751195)",255,2_LC08_199027_20150810,2.81,146.857819,0,10:40:53,1,0,149,1,0,199,403,324,0.617462274,27,LC08,37.17530365,35.646873,2015-08-10T10:40:53Z,8,2015,10,Summer,2015,385,2020,1984,36,59837,420,494,294.7777778,444.9090909,324,250,484.316028,556.9755882,376.9382603,692.7192021,384.2530796,286.1339757,1.430304103,0.778289874,1.150025099,0.793393275,0.676759033,0.869546239,1.243715554,0.689892138,0.544142936,0.804042369,0.699152018,0.554702509,0.980963538,1.44950195,1.260408969,1.80276812,0.387547449,0.518587479,0.514557243,0.452776749,0.63626056,0.449701479,0.646702833,0.520704625,0.731715613,0.473202139,0.646702833,0.517167988,0.361991064,0.320243822,0.43397613,0.301624255,0.400474691,0.349998107,0.665249956,0.804314372,0.797540686,0.741737799,0.735973335,0.910046089,520.6458081,624.8473951,-0.192787206,3.082720702,225.5857006,308.4661225,208.4031741,0.17705772,0.183507488,-0.295216883,-0.108621413,0.233930088,0.323240967,0.310192719,2110.949079,563,#454F36,372
4049850,10/22/2018,2,NA,NA,PONT D11,6751195,641913.5,"c(641913.5, 6751195)",255,2_LC08_199027_20181021,0.04,163.878754,0,10:41:06,1,0,220,1,0,199,512,324,0.405573355,27,LC08,53.37370653,59.545708,2018-10-21T10:41:06Z,10,2018,10,Fall,2020,385,2020,1984,36,59853,272.6666667,346.4583333,202,149.7474247,72.42105263,48.35251602,333.7521864,409.0969971,269.5587918,319.1980194,106.2221948,61.52497576,0.956392295,0.807661501,1.225750763,0.318266663,0.658911685,0.815826537,0.780250214,0.25965039,0.84448767,1.281640149,1.045596044,0.332778364,2.537688026,3.851332558,3.142019303,3.005003051,0.458265097,0.491784188,0.647661084,0.566876136,0.888156129,0.784523573,0.678086446,0.694848857,1.088658053,0.626536286,0.678086446,0.961630368,0.362871492,0.41283208,0.61266929,0.370123076,0.523090923,0.633629486,0.429694245,0.529077094,0.725492286,0.470338608,0.61941807,0.849425678,371.4245917,364.1475082,-0.156914852,0.936034072,24.51663963,212.9758246,-14.554167,-0.022289857,0.587742136,-0.084311938,0.123437585,0.256659715,0.341088315,0.227835677,1331.605995,560,#2F3A26,373
4050000,4/9/2002,NA,8,29,PONT N721,6752860,633341.9,"c(633341.9, 6752860)",259,1_2_LE07_199027_20020408,18,148.908417,0,10:30:02,1,0,178,1,0,199,453,68,0.79465293,27,LE07,66.71181884,44.121712,2002-04-08T10:30:02Z,4,2002,10,Spring,2005,254,2020,1984,36,60992,394.0938449,496,335,323.6350307,96,77,394.0938449,496,335,323.6350307,96,77,0.821213107,0.850051338,1.258583473,0.243596801,0.675403226,0.794544042,0.652489981,0.193548387,1.035116623,1.532590582,1.217710716,0.296630435,3.489583333,5.166666667,4.105144217,3.371198237,0.480816254,0.474240487,0.665699062,0.598349354,0.91437087,0.939134762,0.680296513,0.753072608,1.150812065,0.691068754,0.680296513,1.181979491,0.376364809,0.466750066,0.683542557,0.4087185,0.565878378,0.798312761,0.363596527,0.443886659,0.660353184,0.389452504,0.546680795,0.750893343,445.0469224,409.8175154,-0.119140816,0.763635461,-19.27098221,227.6350307,-70.45881416,-0.098169123,0.675675676,0.017255337,0.210294781,0.272159581,0.324596774,0.276233989,1548.728876,558,#384630,374
4050000,5/11/2005,15,2.410000086,10.11999989,PONT N721,6752860,633341.9,"c(633341.9, 6752860)",259,1_1_LT05_199027_20050510,14,144.005188,186.1254902,10:28:29,1,0,143,1,0,199,707,68,0.503122695,27,LT05,81.87997596,34.034676,2005-05-10T10:28:29Z,5,2005,10,Spring,2005,254,2020,1984,36,60949,509.9179326,633.7274981,378.3928571,444,152.1875,87,453.7392851,571.9488132,367.0300718,409.9879044,118.9372977,67.40678522,0.903575947,0.808900802,1.260523018,0.262126956,0.64171839,0.793321491,0.716826218,0.207950948,0.895221707,1.395038261,1.106713833,0.290099528,3.085912315,4.808826365,3.814945301,3.447092815,0.462086076,0.483226292,0.656749757,0.583949534,0.933682617,0.857851513,0.696844745,0.736081829,1.17692843,0.66218688,0.696844745,1.081341579,0.357837897,0.424937499,0.640902881,0.373781798,0.531245405,0.693916777,0.399719861,0.499516583,0.715915259,0.436631655,0.593423283,0.843653155,512.8440492,490.9683588,-0.1516031,0.869321622,13.73986965,291.0506067,-43.75138071,-0.050654166,0.655696371,-0.055285507,0.164940271,0.262810084,0.35828161,0.318531658,1802.706075,559,#405134,375
4050000,6/20/2005,21,53.40999985,30.12999916,PONT N721,6752860,633341.9,"c(633341.9, 6752860)",259,1_2_LE07_199027_20050619,1,137.733215,0,10:30:39,1,0,125,1,0,199,402,68,0.624412796,27,LE07,58.9198061,29.27758,2005-06-19T10:30:39Z,6,2005,10,Summer,2005,254,2020,1984,36,61008,296.5151515,462.5925926,248.48,341.3181818,82.19191919,56.11558832,296.5151515,462.5925926,248.48,341.3181818,82.19191919,56.11558832,1.15109862,0.838001022,1.560097655,0.277192982,0.537146517,0.640985516,0.737837543,0.177676687,0.728001065,1.355311897,0.868735295,0.240807328,3.023168244,5.628200401,3.607594937,4.152697554,0.368840873,0.416997019,0.544279702,0.502740023,0.896704964,0.700137141,0.848801299,0.784323531,1.398947312,0.72525622,0.848801299,1.092282313,0.327331663,0.389568853,0.656127174,0.309089028,0.456106946,0.58671564,0.449630747,0.626277465,0.901272271,0.480004693,0.626519614,1.032195847,379.5538721,401.9553872,-0.103838998,1.209044208,81.60600959,259.1262626,44.8030303,0.070242535,0.698258972,-0.157406694,0.150855561,0.295942452,0.462853483,0.257628624,1348.905926,554,#2A4223,376
4050000,9/11/2006,7.800000191,27.27000046,5.900000095,PONT N721,6752860,633341.9,"c(633341.9, 6752860)",259,1_2_LE07_199027_20060910,10,151.734116,0,10:30:47,1,0,183,1,0,199,348,68,0.978362825,27,LE07,55.20529612,45.896988,2006-09-10T10:30:47Z,9,2006,10,Fall,2010,254,2020,1984,36,61013,435,560.8965517,372.8,513.3679885,244.0754706,143,435,560.8965517,372.8,513.3679885,244.0754706,143,1.180156295,0.857011494,1.28941736,0.561093036,0.664650191,0.77554408,0.915263228,0.435152382,0.726184741,1.09258186,0.847345393,0.475439599,1.52739642,2.298045561,1.78223563,2.103316598,0.404928194,0.465890122,0.540391452,0.490877583,0.705166635,0.574300292,0.69435077,0.632946077,0.909254101,0.59143345,0.69435077,0.740512767,0.374336069,0.393096356,0.548981691,0.347028116,0.463121686,0.492181952,0.515483247,0.635513727,0.755980757,0.54982316,0.637746374,0.832206844,497.9482759,537.1322701,-0.110893889,1.410465794,111.1530087,269.2925179,78.36798852,0.082634578,0.393580239,-0.158624539,0.044242886,0.278219794,0.335349809,0.312376395,1882.06454,557,#3E5035,377
